"Date"	"Time"	"Open"	"High"	"Low"	"Close"	"Volume"
12/28/2005	07:30	1267.75	1267.75	1267.00	1267.25	581
12/28/2005	07:45	1267.25	1267.50	1267.00	1267.25	787
12/28/2005	08:00	1267.25	1267.25	1266.75	1267.00	339
12/28/2005	08:15	1266.75	1267.25	1266.50	1267.00	1038
12/28/2005	08:30	1267.00	1267.25	1266.50	1266.75	917
12/28/2005	08:45	1266.50	1267.00	1266.50	1267.00	435
12/28/2005	09:00	1267.00	1267.00	1265.75	1266.25	3692
12/28/2005	09:15	1266.25	1266.50	1266.00	1266.00	1411
12/28/2005	09:30	1266.00	1266.50	1265.50	1265.75	2633
12/28/2005	09:45	1265.50	1267.00	1265.50	1266.25	25267
12/28/2005	10:00	1266.50	1266.50	1264.50	1266.00	19336
12/28/2005	10:15	1266.00	1268.00	1265.75	1266.75	28562
12/28/2005	10:30	1266.75	1267.25	1265.00	1265.50	15691
12/28/2005	10:45	1265.75	1266.25	1263.50	1263.75	30910
12/28/2005	11:00	1263.75	1265.00	1263.25	1264.50	19228
12/28/2005	11:15	1264.75	1266.00	1264.50	1265.25	13047
12/28/2005	11:30	1265.25	1266.25	1264.50	1266.25	12687
12/28/2005	11:45	1266.00	1267.00	1266.00	1266.00	11001
12/28/2005	12:00	1266.00	1266.25	1265.25	1265.50	7882
12/28/2005	12:15	1265.75	1265.75	1264.50	1265.50	6159
12/28/2005	12:30	1265.50	1266.50	1265.00	1266.00	7893
12/28/2005	12:45	1265.75	1266.00	1264.50	1264.75	6026
12/28/2005	13:00	1264.75	1265.50	1264.25	1265.25	7871
12/28/2005	13:15	1265.00	1266.00	1265.00	1265.25	4165
12/28/2005	13:30	1265.25	1265.50	1264.50	1265.00	4857
12/28/2005	13:45	1265.00	1266.50	1264.75	1266.25	14534
12/28/2005	14:00	1266.50	1266.75	1265.50	1266.00	14470
12/28/2005	14:15	1266.25	1266.75	1265.75	1266.25	6879
12/28/2005	14:30	1266.25	1267.50	1265.75	1267.00	11140
12/28/2005	14:45	1267.25	1268.25	1266.50	1267.00	12455
12/28/2005	15:00	1267.00	1267.75	1266.75	1267.00	7786
12/28/2005	15:15	1267.00	1267.25	1266.00	1266.25	6633
12/28/2005	15:30	1266.50	1268.00	1266.25	1267.50	8074
12/28/2005	15:45	1267.50	1267.50	1266.25	1267.00	8581
12/28/2005	16:00	1267.25	1267.25	1264.25	1264.50	24724
12/28/2005	16:15	1264.25	1265.50	1264.25	1265.25	22927
12/28/2005	16:30	1265.50	1265.50	1265.50	1265.50	1
12/28/2005	16:45	1265.25	1265.50	1265.00	1265.00	566
12/28/2005	17:00	1265.00	1265.25	1264.75	1265.25	273
12/28/2005	17:15	1265.00	1265.50	1265.00	1265.00	364
12/28/2005	17:30	1265.25	1265.25	1264.75	1264.75	182
12/28/2005	18:15	1265.00	1265.25	1264.75	1265.25	155
12/28/2005	18:30	1265.25	1265.25	1265.00	1265.25	17
12/28/2005	18:45	1265.25	1265.25	1265.00	1265.25	10
12/28/2005	19:00	1265.25	1265.50	1265.00	1265.25	140
12/28/2005	19:15	1265.50	1265.50	1265.25	1265.25	26
12/28/2005	19:30	1265.25	1265.50	1265.25	1265.50	50
12/28/2005	19:45	1265.50	1265.75	1265.50	1265.75	144
12/28/2005	20:00	1265.50	1265.75	1265.50	1265.75	28
12/28/2005	20:15	1265.75	1265.75	1265.50	1265.75	18
12/28/2005	20:30	1265.75	1265.75	1265.50	1265.75	44
12/28/2005	20:45	1265.50	1265.50	1265.50	1265.50	4
12/28/2005	21:00	1265.75	1266.00	1265.75	1265.75	90
12/28/2005	21:15	1265.75	1266.00	1265.75	1266.00	213
12/28/2005	21:30	1265.75	1266.00	1265.75	1266.00	3
12/28/2005	21:45	1266.00	1266.00	1265.75	1266.00	10
12/28/2005	22:00	1266.00	1266.00	1265.50	1265.75	23
12/28/2005	22:15	1265.75	1266.00	1265.75	1265.75	19
12/28/2005	22:30	1266.00	1266.00	1265.75	1266.00	25
12/28/2005	22:45	1266.00	1266.00	1265.75	1265.75	39
12/28/2005	23:00	1266.00	1266.50	1265.75	1266.25	148
12/28/2005	23:15	1266.25	1266.50	1266.25	1266.25	52
12/28/2005	23:30	1266.50	1266.50	1266.25	1266.50	118
12/28/2005	23:45	1266.50	1266.50	1266.25	1266.25	10
12/29/2005	00:00	1266.25	1266.25	1266.25	1266.25	31
12/29/2005	00:15	1266.25	1266.50	1266.25	1266.25	110
12/29/2005	00:30	1266.00	1266.00	1265.75	1265.75	49
12/29/2005	00:45	1265.75	1266.00	1265.75	1266.00	105
12/29/2005	01:00	1266.00	1266.00	1266.00	1266.00	33
12/29/2005	01:15	1266.00	1266.00	1265.75	1265.75	7
12/29/2005	01:30	1265.75	1266.00	1265.75	1265.75	15
